Artifact_Name,Museum_Name,Artifact_Type,Material,Period_Dating,Finding_Place,Gallery_No,Dimensions,Credit_Donor,Description,Image_URL,Source_Link
Folk Artifacts — Northern Bangladesh Crafts,Jamalpur Estate Museum,Folk Craft / Ethnographic Artifact,"Bamboo, cane, cotton, clay",19th–20th century CE,Thakurgaon / northern Bangladesh region,Cultural Heritage Gallery,Various sizes,Donated by local artisans and families,"Traditional folk craft objects from the northern Bangladesh region, including bamboo and cane basketry, hand-woven cotton textiles, and clay pottery. Northern Bangladesh has a distinctive craft tradition shaped by its proximity to the Bengal-Assam hill zones and its contact with tribal communities such as the Santal, Oraon, and other groups who inhabit the Barind region. The craft collection documents both the mainstream Bengali craft traditions and the influence of these neighboring communities on the material culture of the Thakurgaon area. The objects include everyday utilitarian items — baskets, cooking pots, storage containers — and more decorative pieces produced for festivals and ceremonies.",https://jamalpur-museum.gov.bd/gallery/folk_crafts.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Liberation War Artifacts — Northern Bangladesh Sector,Jamalpur Estate Museum,Liberation War Artifact / Historical Document,Various,1971 CE,Thakurgaon District,Liberation War Gallery,Various sizes,Donated by freedom fighters and families,"Liberation War artifacts and documentation from the northern Bangladesh sector of the 1971 war, including photographs of local freedom fighters, weapons and equipment used during guerrilla operations, and documents relating to the liberation of Thakurgaon District. The northernmost districts of Bangladesh — Thakurgaon, Panchagarh, Dinajpur — were part of Sector 7 of the Liberation War and were liberated in December 1971 during the final military offensive. The museum documents the local experience of the war and the specific contributions of Thakurgaon's freedom fighters to national independence.",https://jamalpur-museum.gov.bd/gallery/liberation_artifacts.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Estate House Architecture Display,Jamalpur Estate Museum,Architectural Documentation / Educational Exhibit,"Photographs, measured drawings, scale model",Contemporary (21st century),"Jamalpur Estate House, Thakurgaon",Architecture Gallery,Wall-mounted display and model,Museum curatorial team / Thakurgaon District administration,"A display documenting the architecture of the Jamalpur estate house — the physical building that houses (or is associated with) the museum. The display includes measured drawings of the estate house's floor plan and elevation, historical photographs showing the building's condition at different periods, and architectural analysis of its style and construction. Estate houses (zamindar baris) of northern Bangladesh have a distinctive architectural character, combining colonial Neoclassical elements (columned verandas, arched windows) with traditional Bengali domestic spatial organization (courtyard plan, separate men's and women's sections). The Jamalpur Estate house is documented as a heritage building representing the zamindari architectural tradition of the Thakurgaon region.",https://jamalpur-museum.gov.bd/gallery/estate_architecture.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Portrait of Kangal Harinath Majumdar,Kangal Harinath Memorial Museum,Portrait / Historical Document,Oil on canvas / photographic print,19th century CE (subject); portrait commissioned 2013,"Kumarkhali, Kushtia District",Main Memorial Gallery,~60 × 45 cm framed,Bangladesh National Museum / Kushtia cultural institutions,"A formal portrait of Kangal Harinath Majumdar (1833–1896) — poet, journalist, social reformer, and the founder of Gram Barta Prokashika (Rural News), the first Bengali-language newspaper published from rural Bengal (from 1863, Kumarkhali). Harinath was known as 'Kangal' (the destitute) reflecting his identification with the rural poor. He was a close associate and spiritual disciple of Lalon Shah (the great mystic poet) and also a mentor of the literary figures Akshay Kumar Maitreya and Jagadish Chandra Bose (the scientist). The portrait is the central exhibit of the memorial museum, which is a branch museum under Bangladesh National Museum established in 2013 in Harinath's home town.",https://kangal-museum.gov.bd/gallery/portrait.jpg,https://en.wikipedia.org/wiki/Kangal_Harinath_Memorial_Museum
Original Issues of Gram Barta Prokashika (Rural News),Kangal Harinath Memorial Museum,Newspaper / Literary Artifact,Printed paper,1863–1884 CE,"Kumarkhali, Kushtia District",Editorial Heritage Gallery,Standard newspaper format (various sizes),Bangladesh National Museum / press archives,"Reproductions and surviving original issues of Gram Barta Prokashika — the pioneering Bengali rural newspaper founded and edited by Kangal Harinath Majumdar, published from Kumarkhali from 1863. The newspaper was remarkable for its time: it was the first major newspaper published outside Calcutta in Bengali, and it focused on the grievances of rural farmers against the indigo planter system and the colonial administration. Harinath's courageous journalism exposed the exploitation of peasants by British indigo planters, a campaign that continued even when he faced personal threats. The newspaper is a landmark in the history of Bengali journalism and rural social reform.",https://kangal-museum.gov.bd/gallery/gram_barta.jpg,https://en.wikipedia.org/wiki/Kangal_Harinath
Printing Press — Mathuranath Press (Historic),Kangal Harinath Memorial Museum,Machine / Historical Artifact,"Cast iron, steel type (replica or period press)",19th century CE,"Kumarkhali, Kushtia District",Editorial Heritage Gallery,~100 × 80 × 90 cm,Museum collection / Kumarkhali press heritage,A hand-operated printing press of the type used at the Mathuranath Press — the printing establishment in Kumarkhali through which Harinath Majumdar published Gram Barta Prokashika and other works. The press represents the material infrastructure of 19th-century Bengali journalism in rural Bengal — the physical technology that enabled Harinath to disseminate his reformist message to rural readers. The Mathuranath Press was one of the earliest printing establishments outside Calcutta to publish a regular Bengali newspaper and played a significant role in the development of Bengali print culture beyond the urban center. The press display is accompanied by information on the history of Bengali printing and journalism.,https://kangal-museum.gov.bd/gallery/printing_press.jpg,https://en.wikipedia.org/wiki/Kangal_Harinath
Kangal Harinath's Published Works — First Editions,Kangal Harinath Memorial Museum,Book / Literary Artifact,"Printed paper, cloth binding",Late 19th century CE,Kumarkhali / Calcutta publishers,Literary Heritage Gallery,Various sizes,Bangladesh National Museum / literary archives,"First or early editions of the literary works of Kangal Harinath Majumdar, including his collections of baul-influenced devotional poems, his essays on social reform, and the publications of Gram Barta Prokashika. Harinath was not only a journalist but a poet in the baul tradition — he wrote devotional songs influenced by his spiritual relationship with Lalon Shah. His works represent the intersection of journalism, social reform, folk spirituality, and Bengali literary culture in 19th-century Kushtia. The book collection documents his output as a writer and thinker and contextualizes his journalism within a broader vision of social and spiritual transformation.",https://kangal-museum.gov.bd/gallery/published_works.jpg,https://en.wikipedia.org/wiki/Kangal_Harinath
Connection to Lalon Shah — Display and Documents,Kangal Harinath Memorial Museum,Educational Display / Historical Document,"Photographs, text panels, documents",19th century CE (subject),Kushtia District (Lalon's akhra at Chheuriya),Kushtia Heritage Gallery,Wall-mounted display,Museum curatorial team,"A display documenting the relationship between Kangal Harinath Majumdar and Lalon Shah (1774–1890) — the great mystic poet and baul philosopher who is one of the most celebrated figures in Bengali culture. Harinath was both a disciple of Lalon and his contemporary in the Kushtia region; he documented Lalon's life and songs at a time when Lalon's work was little known outside the immediate community. The Kushtia region — home to both Lalon Shah and Kangal Harinath — is one of the most culturally significant areas of Bangladesh, and this display explores the spiritual and intellectual relationships that made Kushtia a center of Bengali folk philosophy and reformist thought in the 19th century.",https://kangal-museum.gov.bd/gallery/lalon_connection.jpg,https://en.wikipedia.org/wiki/Kangal_Harinath
Connection to Jagadish Chandra Bose — Documents,Kangal Harinath Memorial Museum,Historical Document / Educational Display,"Photographs, letters, text panels",Late 19th century CE,"Kumarkhali, Kushtia",Notable Connections Gallery,Wall-mounted display,Bangladesh National Museum / archival sources,"A display documenting Kangal Harinath's mentorship of Jagadish Chandra Bose (1858–1937) — the pioneering scientist who made fundamental contributions to physics and plant biology and is considered the father of Bengali science. Bose spent part of his childhood in Kumarkhali and was influenced by Harinath's intellectual example. The display includes photographs of Bose, facsimiles of correspondence, and text panels tracing the relationship between the village journalist and the future world-class scientist. This connection makes the Kangal Harinath Memorial Museum relevant not only to Bengali journalism and literature but to the history of science in South Asia.",https://kangal-museum.gov.bd/gallery/jc_bose.jpg,https://en.wikipedia.org/wiki/Kangal_Harinath
Indigo Resistance Movement Documents,Kangal Harinath Memorial Museum,Historical Document / Social Reform Archive,"Printed / handwritten documents, photographs",1860s–1880s CE,Kushtia / Nadia region (indigo planting areas),Social Reform Gallery,Various sizes (framed documents),Museum research / Bangladesh National Museum archives,"Documents and displays relating to Kangal Harinath Majumdar's journalistic campaign against the indigo planter system — the forced cultivation of indigo (neel) by Bengali peasants under British planters, which was one of the most brutal forms of economic exploitation in colonial Bengal. Harinath's Gram Barta Prokashika was one of the few newspapers to consistently champion the cause of the peasants against the planters and the colonial administration. The display includes facsimiles of newspaper articles exposing planter abuses, documents relating to the Indigo Revolt of 1859–60 (which occurred shortly before the newspaper's founding), and information on the social context of rural exploitation in the Kushtia-Nadia region.",https://kangal-museum.gov.bd/gallery/indigo_resistance.jpg,https://en.wikipedia.org/wiki/Kangal_Harinath
Personal Effects of Kangal Harinath,Kangal Harinath Memorial Museum,Personal Artifact / Memorial Object,Various household and writing materials,19th century CE,"Kumarkhali, Kushtia District",Main Memorial Gallery,Various sizes,Donated by Majumdar family descendants / Bangladesh National Museum,"Personal effects and household objects associated with Kangal Harinath Majumdar's life in Kumarkhali, donated by family descendants and the Bangladesh National Museum. The objects include writing implements, a personal seal, and household items from the period. These simple personal objects complement the intellectual and journalistic legacy displayed elsewhere in the museum, providing a human dimension to the reformist journalist's life. They are displayed alongside family photographs and biographical text panels in the main memorial gallery, which is designed as a personal memorial to Harinath rather than a purely historical display.",https://kangal-museum.gov.bd/gallery/personal_effects.jpg,https://en.wikipedia.org/wiki/Kangal_Harinath_Memorial_Museum
Princely Bust — Bharat Bhayana Excavation (5th–6th century CE),Khulna Divisional Museum,Sculpture / Archaeological Artifact,Stone (grey sandstone),c. 5th–6th century CE (Gupta period),"Bharat Rajar Deul (Bharat Bhayana), Jessore District",Sculpture Gallery,Height ~35 cm (bust),"Archaeological excavation, Dept. of Archaeology","A sandstone bust of a princely male figure recovered from the excavations at Bharat Rajar Deul (Bharat Bhayana) in Jessore District — one of the most significant archaeological sites in the Khulna Division. The site, associated with the legendary kingdom of King Bharat, yielded the substantial ruins of a brick-built structure and several stone sculptures including Hindu deity figures and busts of princely male figures, dated to approximately the 5th–6th century CE on stylistic grounds (Gupta period). The bust shows a young male with elaborate headdress and jewelry in the Gupta sculptural tradition. This Bharat Bhayana material forms one of the core collections of the Khulna Divisional Museum.",https://khulna-museum.gov.bd/gallery/bharat_bust.jpg,https://en.wikipedia.org/wiki/Khulna_Divisional_Museum
Hindu Deity Figures — Black Basalt Gallery,Khulna Divisional Museum,Sculpture / Archaeological Artifact,Black basalt stone,8th–13th century CE (Pala-Sena period),Jhenaidah District and surrounding areas,Sculpture Gallery,Heights 30–90 cm,Archaeological excavation and local donations,"A collection of black basalt Hindu deity sculptures from the Khulna Division, primarily recovered from the Jhenaidah District area (Barobazar site) and other excavations in the division. The deities represented include Shiva (lingam and anthropomorphic forms), Vishnu, Durga, and attendant figures in the Pala-Sena artistic tradition. The Khulna Division, though geographically distant from the primary Pala sculpture centers of northern Bangladesh, received the influence of this tradition through trade and religious patronage networks. The museum's sculpture gallery is one of its most visited sections, displaying what a local student described as 'hundreds of years old Shiva statues and mythological characters of Hinduism made by black basalt.'",https://khulna-museum.gov.bd/gallery/black_basalt.jpg,https://en.wikipedia.org/wiki/Khulna_Divisional_Museum
Barobazar (Jhenaidah) Mosque Artifacts,Khulna Divisional Museum,Architectural Fragment / Islamic Heritage,"Terracotta, fired brick, carved stone",15th–16th century CE (Bengal Sultanate),"Barobazar, Jhenaidah District",Sultanate Heritage Gallery,Various sizes,"Archaeological excavation, Dept. of Archaeology","Artifacts from the Barobazar archaeological site in Jhenaidah District — one of the most important Sultanate-period mosque complexes in southern Bangladesh. Barobazar contains the ruins of over a dozen mosques from the Bengal Sultanate period (15th–16th centuries), making it the largest concentration of Sultanate mosque ruins in southern Bengal. Artifacts include terracotta decorative panels, carved stone inscriptions, decorated bricks, and architectural fragments from the mosque walls and mihrabs. These materials are among the most significant Sultanate-period archaeological finds in the Khulna Division and form a major part of the museum's historical collection.",https://khulna-museum.gov.bd/gallery/barobazar_artifacts.jpg,https://royalbengaltours.com/destinations/museums-of-bangladesh/
Gold and Silver Coins — Mughal Emperor Jahangir Period,Khulna Divisional Museum,Coin / Numismatic Artifact,"Gold, Silver",17th century CE (Jahangir's reign 1605–1627),Khulna Division (excavation / chance find),Coin Gallery,Gold mohur ~22 mm; Silver rupee ~20 mm,Khulna Divisional Museum collection,"Gold and silver coins from the reign of Mughal Emperor Jahangir (1605–1627) — among the most prized numismatic items in the Khulna Divisional Museum. Jahangir's coins are famous for their fine portraiture and calligraphy; his gold mohurs sometimes bore unusual features including his own portrait (in violation of Islamic artistic conventions, reflecting his eclectic personality) or zodiac sign imagery. The coins recovered from the Khulna region document the area's integration into the Mughal monetary economy during the 17th century, when Dhaka was the Mughal provincial capital and the Bengal economy was at its most prosperous.",https://khulna-museum.gov.bd/gallery/jahangir_coins.jpg,https://www.bangladeshscenictours.com/places-to-visit-in-khulna/
Sundarbans Gallery — Mangrove Ecosystem Display,Khulna Divisional Museum,Educational Exhibit / Natural History,"Photographs, specimens, maps, dioramas",Contemporary (21st century),"Sundarbans, Khulna Division",Sundarbans Gallery (dedicated gallery),Room-scale installation,Khulna Divisional Museum curatorial team,"A dedicated gallery documenting the ecology and heritage of the Sundarbans — the world's largest mangrove forest, shared between Bangladesh (Khulna Division) and India (West Bengal), inscribed as a UNESCO World Heritage Site in 1997. The display includes photographs of the Sundarbans ecosystem, specimens of mangrove plant species, maps of the forest, information on the Bengal Tiger (the Sundarbans Royal Bengal Tiger population is one of the world's largest), and displays on the traditional fishing and honey-collecting communities (bawalis and mawalis) who have lived in the Sundarbans for centuries. The Sundarbans Gallery is one of the museum's most distinctive features, celebrating the ecological heritage that defines the Khulna Division's global significance.",https://khulna-museum.gov.bd/gallery/sundarbans.jpg,https://en.wikipedia.org/wiki/Khulna_Divisional_Museum
Household Utensils — Ancient Landlord Artifacts,Khulna Divisional Museum,Domestic Artifact / Archaeological Object,"Iron, copper, brass, clay",Various periods (Gupta to colonial),Khulna Division excavations,Everyday Life Gallery,Various sizes,Khulna Divisional Museum collection / donations,"A collection of ancient and historical household utensils recovered from excavations and chance finds across the Khulna Division, as described by local visitors: old-time household materials including utensils, ornaments, and tools used by ancient landlords and ordinary communities. The collection spans from the early medieval period (iron tools, clay pots) through the Mughal era (brass and copper vessels) to the colonial period (enamel-ware and early industrial goods). These everyday objects complement the spectacular sculptural and numismatic collections and provide evidence for ordinary domestic life across the division's long history. Several items show the influence of trade with the Sundarbans communities — fishing weights, boat fittings, and forest-harvesting tools.",https://khulna-museum.gov.bd/gallery/utensils.jpg,https://www.touristplaces.com.bd/khulna/khulna-museum/
Liberation War Photographs — South Bengal 1971,Khulna Divisional Museum,Photograph / Historical Document,Photographic prints,1971 CE,Khulna Division,Liberation War Gallery,Various sizes (wall-mounted),Bangladesh Liberation War archives / donated by freedom fighters,"A gallery of Liberation War photographs displayed at the entrance stairwell of the museum, showing historically important liberation sites and events from Khulna Division and broader Bangladesh. Khulna was a major theater of the 1971 Liberation War: the Khulna-Bagerhat-Satkhira region saw significant guerrilla operations and Pakistani Army actions. The photographs include images of liberation sites, freedom fighter groups, the liberation of Khulna, and the post-war reconstruction. The museum positions these photographs at the main entrance to ensure every visitor encounters the liberation narrative as the foundational context for understanding Bangladesh's present.",https://khulna-museum.gov.bd/gallery/liberation_photos.jpg,https://www.touristplaces.com.bd/khulna/khulna-museum/
Terracotta Objects — Gupta and Medieval Period,Khulna Divisional Museum,Terracotta / Archaeological Artifact,Fired terracotta,5th–12th century CE,Khulna Division archaeological sites,Archaeological Gallery,Various sizes,"Archaeological excavation, Dept. of Archaeology","Terracotta objects from Gupta and medieval period excavations in the Khulna Division, including decorated plaques, figurine fragments, and architectural terracotta pieces. The Khulna Division's terracotta heritage is concentrated in the Jhenaidah and Jessore districts, where pre-Sultanate Hindu and Buddhist communities produced terracotta objects in the Bengal tradition. The Bharat Bhayana site in particular yielded significant terracotta material alongside the stone sculptures. These objects document the artistic traditions of southern Bengal in the pre-Islamic period and provide the cultural context for the later Sultanate mosque-building that transformed the region's religious landscape.",https://khulna-museum.gov.bd/gallery/terracotta.jpg,https://www.academia.edu/39743274
"Copper, Iron and Glass Objects — Historical Collection",Khulna Divisional Museum,Artifact Collection / Archaeological Objects,"Copper, iron, brass, clay, glass",Various periods (Gupta to British),"Khulna Division (Bharat Bhayana, Barobazar, other sites)",Archaeological Gallery,Various sizes,Khulna Divisional Museum collection,"A mixed collection of copper, iron, brass, clay, and glass objects from archaeological excavations and finds across the Khulna Division, spanning from the Gupta period to the British colonial era. The collection includes copper plates, iron tools and weapons, brass vessels, clay figurines and pots, and glass bangles and beads. As a divisional museum, Khulna displays material from the full geographic range of the division — from the Sundarbans coastal zone to the inland agricultural districts of Jhenaidah, Narail, and Bagerhat. The diversity of the collection reflects the varied ecological and historical contexts of these different areas within the single administrative division.",https://khulna-museum.gov.bd/gallery/mixed_objects.jpg,https://www.bangladeshscenictours.com/places-to-visit-in-khulna/
Khan Jahan Ali Heritage Display — Bagerhat Connection,Khulna Divisional Museum,Historical Display / Archaeological Artifact,"Photographs, architectural fragments, artifacts",15th century CE,Bagerhat District (Khalifatabad / Mosque City),Islamic Heritage Gallery,Wall-mounted display and artifacts,Khulna Divisional Museum collection,"A display documenting the heritage of Khan Jahan Ali and the historic Mosque City of Bagerhat — a UNESCO World Heritage Site in Khulna Division. Khan Jahan Ali (d. 1459) was the Muslim saint-administrator who established the city of Khalifatabad (modern Bagerhat) in the 15th century and built the famous Sixty-Domed Mosque (Shat Gambuj Masjid) — the largest mosque in Bangladesh. Artifacts from excavations at Bagerhat are displayed alongside photographs and architectural documentation. The display connects the Khulna museum to the broader Islamic heritage of the division, from the Sultanate period mosque-building at Barobazar to the magnificent monument complex of Bagerhat.",https://khulna-museum.gov.bd/gallery/khan_jahan.jpg,https://royalbengaltours.com/destinations/museums-of-bangladesh/
Archaeological Finds — Kishoreganj Haor Region,Kishoreganj Museum,Archaeological Artifact,"Terracotta, pottery, bronze",Various periods (ancient to medieval),Kishoreganj District (haor basin excavations),Archaeological Gallery,Various sizes,Department of Archaeology / local donations,"Archaeological finds recovered from the Kishoreganj district, a region characterized by its extensive haor (seasonal wetland) basins in the Mymensingh-Sylhet borderland. The finds include terracotta pottery fragments, ancient coins, and bronze object fragments, recovered from elevated settlement mounds that rise above the flood-prone haor landscape. Kishoreganj's distinctive geography — vast wetlands that flood for half the year and become agricultural land in the dry season — has shaped a unique pattern of ancient and medieval settlement on raised ground, and the artifacts document the continuous habitation of these settlement islands across many centuries.",https://kishoreganj-museum.gov.bd/gallery/haor_finds.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Portrait and Memorabilia — Begum Sufia Kamal Connection,Kishoreganj Museum,Portrait / Historical Document,"Photographic prints, personal effects",20th century CE,Kishoreganj District,Notable Personalities Gallery,Various sizes,Donated by cultural organizations,"A display honoring the connections between Kishoreganj district and notable Bengali literary and cultural figures associated with the region, including documentation of literary and educational contributions from the district. Kishoreganj has produced several important figures in Bengali cultural and political life, and the museum's Notable Personalities Gallery situates the district's contribution to the broader currents of Bengali intellectual and political history within the specific context of its haor-region geography and agrarian society.",https://kishoreganj-museum.gov.bd/gallery/notable_personalities.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Traditional Boat Models — Haor Region Watercraft,Kishoreganj Museum,Ethnographic Model / Maritime Heritage,"Wood, bamboo (scale models)",Traditional form; models 20th–21st century,Kishoreganj haor basins,Haor Heritage Gallery,Various sizes (models),Constructed by museum craftspeople / local boatbuilders,"A collection of scale models of traditional boats used in the Kishoreganj haor region, including the distinctive narrow, swift boats used for racing during the monsoon season and the broader cargo boats used to transport goods and people across the flooded wetlands. Kishoreganj's haor basins — including the renowned Nikli, Mithamoin, and Itna haors — transform the district into a vast inland sea for several months each year, making boats the essential and often only means of transportation for entire communities. The museum's boat collection documents this distinctive water-based way of life that defines much of Kishoreganj's regional identity.",https://kishoreganj-museum.gov.bd/gallery/haor_boats.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Liberation War Artifacts — Kishoreganj Sector,Kishoreganj Museum,Liberation War Artifact / Historical Document,Various,1971 CE,Kishoreganj District,Liberation War Gallery,Various sizes,Donated by freedom fighters and families,"Liberation War artifacts and documentation from Kishoreganj district, including photographs of local freedom fighters, documents relating to resistance activities, and personal effects of local martyrs of the 1971 war. Kishoreganj, part of the greater Mymensingh region during the war, saw significant guerrilla resistance activity, with the haor landscape providing both challenges and strategic advantages for resistance fighters operating in difficult-to-access wetland terrain. The museum's Liberation War collection documents the specific local contribution of Kishoreganj's freedom fighters to the national independence struggle.",https://kishoreganj-museum.gov.bd/gallery/liberation_artifacts.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Folk Musical Instruments — Haor Region Traditions,Kishoreganj Museum,Musical Instrument / Folk Artifact,"Bamboo, wood, animal skin",19th–20th century CE,Kishoreganj District,Cultural Heritage Gallery,Various sizes,Donated by folk musicians and cultural organizations,"Traditional musical instruments associated with the folk culture of the Kishoreganj haor region, including instruments used in bhatiyali (boatmen's songs) and other water-based musical traditions specific to communities whose lives are organized around the seasonal flooding cycle. The haor region's musical culture reflects its unique relationship to water: songs traditionally sung by fishermen, boatmen, and farmers navigating the transition between dry-season agriculture and wet-season boat travel. The collection includes a dotara, a dhol, and bamboo flutes used by haor-region folk performers.",https://kishoreganj-museum.gov.bd/gallery/folk_instruments.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Agricultural Tools — Haor Farming Adaptation,Kishoreganj Museum,Agricultural Tool / Ethnographic Artifact,"Iron, wood, bamboo",19th–20th century CE,Kishoreganj District,Haor Heritage Gallery,Various sizes,Donated by farming families,"Agricultural tools specifically adapted to the haor farming cycle of Kishoreganj district, including a single-crop rice cultivation toolkit suited to the brief dry-season window when haor land is exposed for farming before the monsoon floods return. The tools include a specialized plough, harvesting implements designed for rapid use before flooding, and storage equipment for protecting the harvest from water damage. Haor agriculture is one of the most distinctive farming systems in Bangladesh, requiring precise timing and specialized knowledge to successfully grow a single annual boro rice crop in the brief window between flood seasons.",https://kishoreganj-museum.gov.bd/gallery/haor_farming_tools.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Historical Photographs — Kishoreganj Town and Haor Landscape,Kishoreganj Museum,Photograph / Historical Document,Silver gelatin and modern prints,Late 19th – 20th century CE,Kishoreganj District,Heritage Documentation Gallery,Various sizes (wall-mounted),Kishoreganj District administration archives / donations,"Historical photographs documenting Kishoreganj town and the surrounding haor landscape across different seasons, showing the dramatic transformation of the district from a dry agricultural plain to a vast inland sea each monsoon. The photographs include images of the famous Nikli, Mithamoin, and Itna haor areas, traditional haor village architecture (homes built on elevated earthen platforms to survive flooding), and scenes of community life adapted to this unique hydrological cycle. The photographic collection documents one of Bangladesh's most visually striking and ecologically distinctive regional landscapes.",https://kishoreganj-museum.gov.bd/gallery/landscape_photos.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Traditional Fishing Equipment — Haor Communities,Kishoreganj Museum,Fishing Equipment / Ethnographic Artifact,"Bamboo, cane, nylon net, jute",Traditional (20th century),Kishoreganj haor basins,Haor Heritage Gallery,Various sizes,Donated by fishing communities,"Traditional fishing equipment used by Kishoreganj's haor-region fishing communities, including large seine nets for communal fishing during the flood season, bamboo fish traps, and specialized equipment for the rich seasonal fish harvest that the haors produce when they flood. Fishing in the haor region is both a subsistence activity for local communities and a significant commercial industry, with the flooded wetlands supporting large populations of native fish species. The collection documents the traditional ecological knowledge developed by generations of haor-region fishing communities to harvest this seasonal aquatic resource sustainably.",https://kishoreganj-museum.gov.bd/gallery/haor_fishing.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Baul Instruments Collection — Lalon Tradition,Kushtia Municipal Museum,Musical Instrument / Folk Artifact,"Gourd, bamboo, metal string, animal skin",Traditional (19th–20th century),Kushtia District (Chheuriya / Kumarkhali),Baul Heritage Gallery,Ektara ~60 cm; Dotara ~70 cm,Donated by baul community and Lalon Academy,"A collection of traditional baul musical instruments from the Kushtia region — the heartland of the baul tradition associated with the mystic poet Lalon Shah (1774–1890). The collection includes an ektara (one-string gourd lute), a dotara (two-string melody lute), a khamak (plucked drum), and a dugdugi (small hourglass drum). Kushtia is the center of Bangladesh's baul tradition, and its instruments are UNESCO-recognized Intangible Cultural Heritage. Lalon Shah's shrine at Chheuriya, Kumarkhali draws thousands of devotees annually. The museum's baul instrument collection celebrates Kushtia's identity as the spiritual capital of baul music and philosophy.",https://kushtia-museum.gov.bd/gallery/baul_instruments.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Portrait and Memorabilia — Lalon Shah,Kushtia Municipal Museum,Portrait / Historical Document,Photographic print / painted portrait; personal effects,19th century CE (subject),"Chheuriya, Kumarkhali, Kushtia",Lalon Heritage Gallery,Portrait ~60 × 45 cm; effects various sizes,Donated by Lalon Akademy and Kushtia cultural institutions,"A portrait and display of memorabilia associated with Lalon Shah (1774–1890) — Bangladesh's most celebrated mystic poet and baul philosopher, born and buried in Chheuriya, Kumarkhali, Kushtia District. Lalon's songs (Lalon geeti) are among the most profound expressions of Bengali spiritual philosophy, drawing on Hindu, Islamic, and Buddhist traditions while transcending all sectarian boundaries. He wrote over 2,000 songs exploring the relationship between the individual soul and the divine, challenging caste, religious prejudice, and social hierarchy. The museum's Lalon display complements the larger Lalon Academy (Lalon Akademy) in Chheuriya and serves as an introduction to the philosopher-poet for visitors to Kushtia town.",https://kushtia-museum.gov.bd/gallery/lalon_portrait.jpg,https://en.wikipedia.org/wiki/Lalon
Rabindranath Tagore Connection — Shilaidaha Documents,Kushtia Municipal Museum,Historical Document / Literary Artifact,"Photographs, letters, reproductions",Late 19th – early 20th century CE,"Shilaidaha, Kushtia District",Literary Heritage Gallery,Various sizes (framed),Donated by Kushtia cultural institutions / Tagore family archives,"Documents and photographs relating to Rabindranath Tagore's long association with Kushtia District — where his family owned the Shilaidaha Kuthibari estate (now a protected museum). Tagore spent extended periods at Shilaidaha between 1891 and 1901, managing his family's zamindari estate on the Padma River, and wrote some of his greatest poetry here, including most of Gitanjali (the collection that won him the 1913 Nobel Prize for Literature). The Kushtia Museum's Tagore collection complements the Shilaidaha Kuthibari Museum and situates Tagore's Kushtia years within the broader cultural history of the district. Photographs show the Shilaidaha house, the Padma River, and scenes of village life that inspired Tagore's work.",https://kushtia-museum.gov.bd/gallery/tagore_shilaidaha.jpg,https://en.wikipedia.org/wiki/Shilaidaha_Kuthibari
Archaeological Finds — Kushtia Region,Kushtia Municipal Museum,Archaeological Artifact,"Terracotta, pottery, bronze, stone",Various periods (ancient to medieval),Kushtia District excavations,Archaeological Gallery,Various sizes,Department of Archaeology / local donations,"Archaeological finds from the Kushtia region, including terracotta pottery, figurine fragments, ancient coins, and stone artifacts recovered from fields and river banks. The Kushtia District encompasses part of the ancient Gangetic Bengal delta where settlement has been continuous for millennia. The Mathabanga and Gorai rivers that flow through Kushtia were important ancient trade routes, and archaeological finds from their banks document the area's participation in the broader cultural traditions of Bengal from the ancient period through the Mughal era.",https://kushtia-museum.gov.bd/gallery/archaeological_finds.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
Textile Heritage — Kushtia Weaving Tradition,Kushtia Municipal Museum,Textile / Folk Craft,"Cotton, silk",19th–20th century CE,Kushtia District,Cultural Heritage Gallery,Fabric samples ~1–3 m each,Donated by weaving community and cultural organizations,"Examples of traditional woven textiles from the Kushtia region, representing the district's craft heritage. The Kushtia-Rajshahi zone has a significant tradition of silk weaving, and the Jamdani tradition of fine cotton weaving has practitioners in the region. The textile samples displayed include both everyday cotton fabrics and more elaborate woven pieces, showing the range of the district's weaving tradition. The collection is displayed alongside information on the social organization of weaving communities and the impact of industrial textile production on traditional handloom weavers.",https://kushtia-museum.gov.bd/gallery/textile_heritage.jpg,https://en.wikipedia.org/wiki/List_of_museums_in_Bangladesh
